Individual,Condition,Leap,LeapSincePoleChange,OutcomeType,OutcomeBinary,OutcomeSevere,Parallax,adjustNum,logDistance(cm),shortestPath,logTakeofflag,logSpeed(m/s),Distancebin
A,Blinder,-1.48483184,-1.142448958,Drop,y,Severe,No,4,1.532754846,Other,2.942504106,0.639210177,Short
A,Blinder,-1.464458839,-1.111982653,Normal,n,Not_severe,No,0,1.532754846,Other,2.133538908,0.690362699,Short
A,Blinder,-1.403339836,-1.02058374,Normal,n,Not_severe,No,2,1.532754846,Other,3.163757524,0.690362699,Short
A,Blinder,-1.382966834,-0.990117436,Normal,n,Not_severe,No,2,1.532754846,Other,2.033423755,0.815301436,Short
A,Blinder,-1.240355826,-0.776853306,Normal,n,Not_severe,No,0,1.660391098,Other,2.484299839,0.641907693,Medium
A,Blinder,-1.219982825,-0.746387002,Normal,n,Not_severe,No,1,1.532754846,Other,2.037426498,0.690362699,Short
A,Blinder,-1.158863822,-1.233847871,Normal,n,Not_severe,No,1,1.532754846,Shortest,3.129367596,0.552060001,Short
A,Blinder,-1.138490821,-1.203381566,Normal,n,Not_severe,No,1,1.532754846,Other,2.843855423,0.894482682,Short
A,Blinder,-1.118117819,-1.172915262,Normal,n,Not_severe,No,1,1.532754846,Shortest,2.181843588,0.815301436,Short
A,Blinder,-1.097744818,-1.142448958,Normal,n,Not_severe,No,0,1.532754846,Other,3.414639147,0.748354646,Short
A,Blinder,-1.077371817,-1.111982653,Normal,n,Not_severe,No,1,1.532754846,Shortest,2.866877814,0.815301436,Short
A,Blinder,-1.056998816,-1.081516349,Normal,n,Not_severe,No,2,1.532754846,Other,3.31993844,0.690362699,Short
A,Blinder,-1.036625815,-1.051050045,Normal,n,Not_severe,No,1,1.532754846,Other,2.897077003,0.748354646,Short
A,Blinder,-1.016252814,-1.02058374,Normal,n,Not_severe,No,2,1.532754846,Other,3.40277707,0.690362699,Short
A,Blinder,-0.995879812,-0.990117436,Normal,n,Not_severe,No,0,1.532754846,Shortest,2.62838893,0.894482682,Short
A,Blinder,-0.975506811,-0.959651132,Normal,n,Not_severe,No,0,1.532754846,Other,2.7084209,0.748354646,Short
A,Blinder,-0.95513381,-0.929184827,Normal,n,Not_severe,No,0,1.532754846,Other,3.452706227,0.593452686,Short
A,Blinder,-0.934760809,-0.898718523,Normal,n,Not_severe,No,1,1.532754846,Shortest,2.136720567,0.690362699,Short
A,Blinder,-0.914387808,-0.868252219,Normal,n,Not_severe,No,2,1.532754846,Other,2.936513742,0.690362699,Short
A,Blinder,-0.894014807,-0.837785914,Normal,n,Not_severe,No,1,1.532754846,Other,3.269512944,0.748354646,Short
A,Blinder,-0.873641805,-0.80731961,Normal,n,Not_severe,No,0,1.532754846,Shortest,2.356025857,0.748354646,Short
A,Blinder,-0.853268804,-0.776853306,Normal,n,Not_severe,No,2,1.532754846,Other,2.397940009,0.690362699,Short
A,Blinder,-0.832895803,-0.746387002,Normal,n,Not_severe,No,4,1.532754846,Other,3.258637283,0.690362699,Short
A,Blinder,-0.812522802,-0.715920697,Normal,n,Not_severe,No,1,1.532754846,Shortest,2.139879086,0.639210177,Short
A,Blinder,-0.792149801,-0.685454393,Normal,n,Not_severe,No,3,1.532754846,Other,2.31386722,0.690362699,Short
A,Blinder,-0.7717768,-0.654988089,Normal,n,Not_severe,No,0,1.532754846,Other,3.42553422,0.815301436,Short
A,Blinder,-0.751403798,-0.624521784,Normal,n,Not_severe,No,0,1.532754846,Shortest,2.096910013,0.748354646,Short
A,Blinder,-0.731030797,-0.59405548,Normal,n,Not_severe,No,3,1.532754846,Other,2.167317335,0.815301436,Short
A,Blinder,-0.710657796,-0.563589176,Normal,n,Not_severe,No,3,1.532754846,Other,3.220631019,0.690362699,Short
A,Blinder,-0.690284795,-0.533122871,Normal,n,Not_severe,No,0,1.532754846,Shortest,2.004321374,0.748354646,Short
A,Blinder,-0.669911794,-0.502656567,Normal,n,Not_severe,No,2,1.532754846,Other,2.193124598,0.748354646,Short
A,Blinder,-0.649538793,-0.472190263,Normal,n,Not_severe,No,4,1.532754846,Other,3.194791758,0.690362699,Short
A,Blinder,-0.629165791,-0.441723958,Normal,n,Not_severe,No,2,1.532754846,Shortest,2.075546961,0.690362699,Short
A,Blinder,-0.60879279,-0.411257654,Normal,n,Not_severe,No,1,1.532754846,Other,2.644438589,0.690362699,Short
A,Blinder,-0.588419789,-0.38079135,Normal,n,Not_severe,No,0,1.532754846,Other,3.248953615,0.690362699,Short
A,Blinder,-0.568046788,-0.350325045,Normal,n,Not_severe,No,4,1.532754846,Shortest,2.173186268,0.639210177,Short
A,Blinder,-0.547673787,-0.319858741,Normal,n,Not_severe,No,0,1.532754846,Other,2.758154622,0.748354646,Short
A,Blinder,-0.527300786,-0.289392437,Normal,n,Not_severe,No,0,1.532754846,Other,3.419294722,0.748354646,Short
A,Blinder,-0.506927784,-0.258926132,Normal,n,Not_severe,No,0,1.532754846,Shortest,2,0.748354646,Short
A,Blinder,-0.486554783,-0.228459828,Normal,n,Not_severe,No,2,1.532754846,Other,2.103803721,0.748354646,Short
A,Blinder,-0.466181782,-0.197993524,Normal,n,Not_severe,No,0,1.532754846,Other,3.038620162,0.639210177,Short
A,Blinder,-0.445808781,-0.16752722,Normal,n,Not_severe,No,0,1.532754846,Other,3.202215776,0.748354646,Short
A,Blinder,-0.42543578,-0.137060915,Normal,n,Not_severe,No,0,1.532754846,Shortest,2.7355989,0.690362699,Short
A,Blinder,-0.405062779,-0.106594611,Normal,n,Not_severe,No,3,1.532754846,Other,2.5289167,0.815301436,Short
A,Blinder,-0.384689777,-0.076128307,Normal,n,Not_severe,No,1,1.532754846,Other,3.16879202,0.748354646,Short
A,Blinder,-0.364316776,-0.045662002,Normal,n,Not_severe,No,4,1.532754846,Shortest,2.250420002,0.815301436,Short
A,Blinder,-0.343943775,-0.015195698,Normal,n,Not_severe,No,2,1.532754846,Other,2.008600172,0.815301436,Short
A,Blinder,-0.323570774,0.015270606,Normal,n,Not_severe,No,2,1.532754846,Other,3.009025742,0.690362699,Short
A,Blinder,-0.303197773,0.045736911,Normal,n,Not_severe,No,0,1.532754846,Shortest,2.198657087,0.748354646,Short
A,Blinder,-0.282824772,-1.233847871,Normal,n,Not_severe,No,2,1.785329835,Other,3.092720645,0.503604995,Long
A,Blinder,-0.262451771,-1.203381566,Normal,n,Not_severe,No,0,1.532754846,Other,2.995196292,0.690362699,Short
A,Blinder,-0.242078769,-1.172915262,Normal,n,Not_severe,No,0,1.532754846,Other,2.356025857,0.748354646,Short
A,Blinder,-0.221705768,-1.142448958,Normal,n,Not_severe,No,1,1.532754846,Other,2.880241776,0.690362699,Short
A,Blinder,-0.201332767,-1.111982653,Normal,n,Not_severe,No,0,1.532754846,Other,2.883661435,0.639210177,Short
A,Blinder,-0.160586765,-1.051050045,Normal,n,Not_severe,No,0,1.785329835,Other,3.181271772,0.54499768,Long
A,Blinder,-0.140213764,-1.02058374,Normal,n,Not_severe,No,0,1.785329835,Other,2.719331287,0.503604995,Long
A,Blinder,-0.119840762,-0.990117436,Normal,n,Not_severe,No,0,1.532754846,Other,3.210586025,0.748354646,Short
A,Blinder,-0.099467761,-0.959651132,Normal,n,Not_severe,No,4,1.532754846,Other,2.612783857,0.690362699,Short
A,Blinder,-0.07909476,-0.929184827,Normal,n,Not_severe,No,3,1.532754846,Other,3.060320029,0.815301436,Short
